Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester
87283794,100.0,6,0.0,26.0,0.6
87601200,58.17,6,-41.67,119.0,0.6
87929681,25.5,2,-45.0,140.0,0.6
87998809,47.67,5,-29.0,127.0,0.6
88111184,100.0,6,0.0,20.0,0.6
88189847,64.17,5,25.0,112.0,0.6
88226151,73.17,6,-44.33,117.0,0.6
88451462,100.0,6,0.0,17.0,0.6
88664967,100.0,6,0.0,37.0,0.6
88699903,99.5,6,-1.0,10.0,0.6
88756438,100.0,6,0.0,35.0,0.6
88915223,7.17,1,0.0,140.0,0.6
88931603,64.17,6,-59.0,140.0,0.6
89047243,90.17,6,-19.67,30.0,0.6
89129288,80.33,6,-29.33,48.0,0.6
89230778,77.83,6,2.33,58.0,0.6
89287824,90.0,6,9.33,132.0,0.6
89367722,98.67,6,-0.67,102.0,0.6
89400160,44.5,3,-9.0,140.0,0.6
89693072,83.67,6,3.33,121.0,0.6
89797051,0.0,0,0.0,130.0,0.6
89900402,85.67,6,-28.67,114.0,0.6
90155569,93.33,6,-13.33,107.0,0.6
90198723,75.67,6,5.33,123.0,0.6
90205242,98.83,6,-2.33,48.0,0.6
90219343,98.17,6,3.67,106.0,0.6
90926702,98.67,6,-2.67,10.0,0.6
91067966,61.67,6,-3.33,134.0,0.6
91258907,25.83,4,-41.5,140.0,0.6
91392631,75.33,6,-24.67,114.0,0.6
92445765,88.33,6,-23.33,58.0,0.6
92485465,90.0,6,-20.0,109.0,0.6
93012570,100.0,6,0.0,31.0,0.6
93123214,91.67,6,-16.67,40.0,0.6
93139542,50.33,5,-69.0,54.0,0.6
93228999,51.33,4,-19.0,118.0,0.6
93293478,65.0,5,23.0,57.0,0.6
93371516,75.83,6,-23.67,123.0,0.6
93509703,94.0,6,-8.67,60.0,0.6
93546547,100.0,6,0.0,47.0,0.6
93675090,75.5,5,-23.5,102.0,0.6
93749928,92.67,6,-14.67,117.0,0.6
94085509,16.67,1,0.0,140.0,0.6
94167786,48.5,6,17.67,121.0,0.6
94583154,92.67,6,-14.67,50.0,0.6
94802188,79.67,6,-10.67,59.0,0.6
94969579,66.0,5,-32.5,56.0,0.6
95030015,100.0,6,0.0,22.0,0.6
95120612,87.33,6,-18.67,112.0,0.6
95724042,87.17,6,-9.0,43.0,0.6
95762589,93.0,6,-14.0,108.0,0.6
95769492,74.17,6,-5.67,133.0,0.6
95802939,100.0,6,0.0,30.0,0.6
95853854,80.67,6,-3.33,53.0,0.6
96097012,100.0,6,0.0,45.0,0.6
96304251,92.83,6,-7.67,47.0,0.6
96404089,67.33,6,-33.33,57.0,0.6
96645647,66.0,6,8.67,52.0,0.6
96968862,81.0,6,-38.0,123.0,0.6
97027020,40.67,6,-41.33,140.0,0.6
97156076,23.33,2,-60.0,137.0,0.6
97419264,99.5,6,-1.0,34.0,0.6
97528476,100.0,6,0.0,10.0,0.6
97566637,76.83,5,-6.5,115.0,0.6
97690340,100.0,6,0.0,47.0,0.6
98977019,68.67,6,-28.67,30.0,0.6
99522393,78.5,6,-39.0,60.0,0.6
99632235,100.0,6,0.0,55.0,0.6
99658767,99.83,6,-0.33,124.0,0.6
99801182,93.33,6,10.0,112.0,0.6
99855326,73.0,5,-6.0,128.0,0.6
99912338,98.17,6,-2.33,111.0,0.6
99960697,75.5,6,0.33,136.0,0.6
99995385,31.17,5,-32.5,140.0,0.6
